address,eth_balance
0x00000000219ab540356cbb839cbe05303d7705fa,6.1915745105682256e+25
0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,2.8325520191422511e+24
0xbe0eb53f46cd790cd13851d5eff43d12404d33e8,1.9960083690071143e+24
0x49048044d57e1c92a77f79988d21fa8faf74e97e,1.8386426978204978e+24
0x40b38765696e3d5d8d9d834d8aad4bb6e418e489,1.3766948033182332e+24
0x8315177ab297ba92a06054ce80a67ed4dbd7ed3a,1.1165892604327441e+24
0x742d35cc6634c0532925a3b844bc454e4438f44e,8.8647861818112357e+23
0x0e58e8993100f1cbe45376c410f97f4893d9bfcd,7.7804629657817864e+23
0x47ac0fb4f2d84898e4d9e7b4dab3c24507a6d503,5.54999057801944e+23
0xe92d1a43df510f82c66382592a047d288f85226f,4.5011833054108412e+23
0x61edcdf5bb737adffe5043706e7c5bb1f1a56eea,3.69498967616809e+23
0x8d0bb74e37ab644964aca2f3fbe12b9147f9d841,3.6747480900959238e+23
0xa6dfb62fc572da152a335384f7724535b9defc84,3.5500000567758847e+23
0xca8fa8f0b631ecdb18cda619c4fc9d197c8affca,3.2500048241062171e+23
0xc61b9bb3a7a0767e3179713f3a5c7a9aedce193c,3.1806376064668085e+23
0x3bfc20f0b9afcace800d73d2191166ff16540258,3.0627663549539993e+23
0x8103683202aa8da10536036edef04cdd865c225e,2.7500003354430779e+23
0x5a52e96bacdabb82fd05763e25335261b270efcb,2.7108802319778275e+23
0xbeb5fc579115071764c7423a4f12edde41f106ed,2.6478897644933975e+23
0x0a4c79ce84202b03e95b7a692e5d728d83c44c76,2.5424845491645496e+23
0xd3a22590f8243f8e83ac230d1842c9af0404c4a1,2.537027673014936e+23
0xf977814e90da44bfa03b6295a0616a897441acec,2.521009145186717e+23
0x539c92186f7c6cc4cbf443f26ef84c595babbca1,2.5000002886519207e+23
0x2b6ed29a95753c3ad948348e3e7b1a251080ffb9,2.5000002452020263e+23
0xbfbbfaccd1126a11b8f84c60b09859f80f3bd10f,2.5000000237704263e+23
0x868dab0b8e21ec0a48b726a1ccf25826c78c6d7f,2.5000000197009351e+23
0x1b3cb81e51011b549d78bf720b0d924ac763a7c2,2.4330000452510465e+23
0x220866b1a2219f40e72f5c628b65d54268ca3a9d,2.4000003031489322e+23
0x73af3bcf944a6559933396c1577b257e2054d935,2.1876532718837546e+23
0x17e5545b11b468072283cee1f066a059fb0dbf24,2.1874866490735859e+23
0x866c9a77d8ab71d2874703e80cb7ad809b301e8e,2.1828996563513721e+23
0x15c22df3e71e7380012668fb837c537d0f8b38a1,2.1489392996873209e+23
0xde0b295669a9fd93d5f28d9ec85e40f4cb697bae,2.1477434345400562e+23
0x0bd48f6b86a26d3a217d0fa6ffe2b491b956a7a2,2.1473427186803486e+23
0xafcd96e580138cfa2332c632e66308eacd45c5da,2.1071246788313548e+23
0x9c22a4039f269e72de6b029b273be059cdbb831c,1.9822548545421436e+23
0xbf3aeb96e164ae67e763d9e050ff124e7c3fdd28,1.8706819608170753e+23
0x94dbf04e273d87e6d9bed68c616f43bf86560c74,1.8340895635016595e+23
